职位名称,职位类别,人数,地点,发布时间
22989-腾讯云加速高级产品运营经理（深圳）,产品/项目类,1,深圳,2017-12-17
22989-腾讯云接入层运维工程师（深圳）,技术类,1,深圳,2017-12-17
OMG236-腾讯视频iOS高级工程师（深圳）,技术类,1,深圳,2017-12-17
OMG236-推荐算法工程师（深圳）,技术类,1,深圳,2017-12-17
OMG236-视频推荐算法工程师(北京),技术类,1,北京,2017-12-17
WXG04-111 微信游戏数据分析工程师（深圳、广州）,技术类,1,广州,2017-12-17
18428-腾讯区块链高级研发工程师(深圳),技术类,2,深圳,2017-12-17
18435-反洗钱专家,技术类,1,深圳,2017-12-17
18435-财付通高级风险分析师（深圳）,技术类,3,深圳,2017-12-17
18435-财付通高级风险分析师-策略方向（深圳）,技术类,1,深圳,2017-12-17
SNG16-全民K歌后台开发工程师（深圳）,技术类,4,深圳,2017-12-17
18402-版本管理,产品/项目类,3,深圳,2017-12-17
18402-移动游戏数据分析,产品/项目类,1,深圳,2017-12-17
22025-建造类沙盒资深3D角色设计（深圳）,设计类,1,深圳,2017-09-20
22025-建造类沙盒资深3D动画特效设计（深圳）,设计类,1,深圳,2017-09-20
OMG097-数据开发工程师（深圳）,技术类,1,深圳,2017-07-11
23516-内外部合作与市场推广接口人,产品/项目类,1,深圳,2017-12-17
23516-移动游戏本地化策划,产品/项目类,1,深圳,2017-12-17
23518-移动游戏渠道数据分析经理（精品游戏）,产品/项目类,1,深圳,2017-12-17
MIG09-资讯大数据应用开发工程师,技术类,1,深圳,2017-12-17
23671-数据分析师,产品/项目类,2,北京,2017-12-17
15575-《王者荣耀》品牌视觉设计师（成都）,设计类,1,成都,2017-12-17
17520-U3D手游客户端开发工程师(深圳),技术类,1,深圳,2017-12-17
GY0-海外腾讯云后台开发工程师（深圳）,技术类,1,深圳,2017-12-17
17229-手游客户端开发工程师,技术类,6,深圳,2017-12-17
SNG04-QQ看点短视频高级产品经理,产品/项目类,1,深圳,2017-12-16
SA-腾讯社交广告大数据开发工程师（微信广告方向 深圳）,技术类,1,深圳,2017-12-16
SA-腾讯社交广告KA渠道数据分析师（深圳）,产品/项目类,2,深圳,2017-12-16
WXG02-113 微信后台开发高级工程师（广州）,技术类,1,广州,2017-12-17
WXG08-511 微信高级秘书（广州）,职能类,1,广州,2017-12-17
MIG03-移动端测试开发工程师（北京）,技术类,1,北京,2017-12-17
20503-优图专项测试工程师(上海）,技术类,2,上海,2017-12-17
OMG097-数据挖掘工程师(北京）,技术类,2,北京,2017-12-16
WXG04-212 微信游戏产品策划经理,产品/项目类,1,深圳,2017-12-16
21062-资深AAA游戏关卡策划（上海）,产品/项目类,1,上海,2017-12-17
21062-资深Unreal游戏逻辑工程师（上海）,技术类,1,上海,2017-12-17
MIG09-浏览器内核开发高级工程师-JS引擎方向,技术类,1,深圳,2017-12-16
SNG06-QQ会员平台后台开发工程师（深圳）,技术类,1,深圳,2017-12-16
22989-金融行业专有云产品经理（深圳）,产品/项目类,2,深圳,2017-12-17
22989-金融云高级后台开发,技术类,1,深圳,2017-12-17
22989-数据库解决方案架构师（成都/深圳/北京）,技术类,2,成都,2017-12-17
22989-腾讯云高级工程师,技术类,2,深圳,2017-12-17
22989-大数据和人工智能高级产品经理（深圳/北京/上海/成都）,产品/项目类,3,深圳,2017-12-17
22990-腾讯云销售运营经理（深圳）,市场类,1,深圳,2017-09-27
WXG08-121 微信搜索推荐算法高级工程师,技术类,1,广州,2017-09-25
WXG08-113 微信模式识别软件开发工程师（北京）,技术类,1,北京,2017-09-25
OMG097-后台开发高级工程师,技术类,1,深圳,2017-09-25
16265-客户端引擎开发工程师（上海）,技术类,2,上海,2017-09-20
AQ-产品安全经理（深圳）,职能类,1,深圳,2017-10-11
21229-回合手游资深运营策划（上海）,产品/项目类,1,上海,2017-10-09
22989-腾讯云后台开发高级工程师（数据仓库方向）(深圳/北京/上海/成都),技术类,2,深圳,2017-10-09
15575-《王者荣耀》IP内容运营（成都）,产品/项目类,1,成都,2017-10-12
MIG06-硬件开发工程架构师（深圳）,产品/项目类,1,深圳,2017-10-12
22989-腾讯云服务器硬件运营高级工程师（深圳）,技术类,1,深圳,2017-10-16
15575-《王者荣耀》世界观场景概念设计师（成都）,设计类,1,成都,2017-10-16
20765-政府及公共事务经理（云南）,职能类,1,昆明,2017-09-28
CB-海外福利经理（深圳）,职能类,1,深圳,2017-09-27
23048-翻译君语料数据工程师（北京）,技术类,1,北京,2017-09-27
21530-腾讯音乐高级猎聘经理（深圳）,职能类,1,深圳,2017-10-09
S2-投资公司管理经理（深圳）,职能类,2,深圳,2017-10-09
15571-高级项目经理（深圳）,产品/项目类,1,深圳,2017-10-09
15569-QQ飞车手游高级玩法策划（深圳）,产品/项目类,1,深圳,2017-10-11
S2-S系统财务管理（深圳）,职能类,1,深圳,2017-10-11
MIG05-浏览器高级品牌经理（深圳）,市场类,1,深圳,2017-10-11
22990-腾讯云渠道经理（上海）,市场类,3,上海,2017-10-18
WXG01-321 商务拓展,市场类,1,广州,2017-10-18
24012-3D角色设计师（深圳）,设计类,1,深圳,2017-10-17
SNG08-运营编辑（北京）,内容编辑类,1,北京,2017-10-13
15614-次世代游戏技术美术（上海）,设计类,1,上海,2017-10-12
FWZ-游戏维权法务,职能类,1,深圳,2017-10-12
SNG02-腾讯云大数据研发高级工程（深圳）,技术类,2,深圳,2017-12-15
SNG02-音视频高级开发工程师（深圳）,技术类,1,深圳,2017-12-15
21759-高级移动客户端开发工程师（上海）,技术类,1,上海,2017-09-27
SA-腾讯社交广告高级系统测试工程师（深圳）,技术类,2,深圳,2017-09-27
TEG17-Senior Researcher（us）,技术类,5,美国,2017-10-09
OMG064-DMP产品经理（上海）,产品/项目类,1,上海,2017-09-29
HGJ-Tencent Legal Commercial Counsel,职能类,1,深圳,2017-09-29
